;TYPE;Model;Voltage_V;Capacity_mAh;Discharge_Rate_C;Max_Burst_Discharge_Rate_C;Energy_density_Wh_kg;Imax_A;Pmax_W_kg;Pvol_Wh_m3;Weight_kg;Volume_cm3;Energy_kJ;Capacity_As;n_series;n_parallel;Dominated
6996;KOKAM;KOKAM SLPB776495;14.8;42400;2;3;192.254902;127.2;576.7647059;408150.0977;3.264;1537.4736;2259.072;152640.0;4;8;0
7023;ProLiteX;TP4000-2SPX25;29.6;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;4.992;2545.92;3409.92;115200.0;4;8;0
7072;KOKAM;KOKAM SLPB776495;14.8;47700;2;3;192.254902;143.1;576.7647059;408150.0977;3.672;1729.6578;2541.456;171720.0;4;9;0
7148;KOKAM;KOKAM SLPB776495;14.8;53000;2;3;192.254902;159.0;576.7647059;408150.0977;4.08;1921.842;2823.84;190800.0;4;10;0
7174;ProLiteX;TP4000-2SPX25;29.6;40000;25;50;189.7435897;2000.0;9487.179487;372046.2544;6.24;3182.4;4262.4;144000.0;4;10;0
7223;KOKAM;KOKAM SLPB776495;14.8;58300;2;3;192.254902;174.9;576.7647059;408150.0977;4.488;2114.0262;3106.224;209880.0;4;11;0
7249;ProLiteX;TP4000-2SPX25;29.6;44000;25;50;189.7435897;2200.0;9487.179487;372046.2544;6.864;3500.6400000000003;4688.64;158400.0;4;11;0
7298;KOKAM;KOKAM SLPB776495;14.8;63600;2;3;192.254902;190.8;576.7647059;408150.0977;4.896;2306.2104;3388.608;228960.0;4;12;0
7324;ProLiteX;TP4000-2SPX25;29.6;48000;25;50;189.7435897;2400.0;9487.179487;372046.2544;7.487999999999999;3818.88;5114.88;172800.0;4;12;0
7373;KOKAM;KOKAM SLPB776495;14.8;68900;2;3;192.254902;206.7;576.7647059;408150.0977;5.303999999999999;2498.3946;3670.992;248040.0;4;13;0
7399;ProLiteX;TP4000-2SPX25;29.6;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;8.112;4137.12;5541.12;187200.0;4;13;0
7448;KOKAM;KOKAM SLPB776495;14.8;74200;2;3;192.254902;222.6;576.7647059;408150.0977;5.712;2690.5788;3953.376;267120.0;4;14;0
7522;KOKAM;KOKAM SLPB776495;14.8;79500;2;3;192.254902;238.5;576.7647059;408150.0977;6.119999999999999;2882.763;4235.76;286200.0;4;15;0
7595;KOKAM;KOKAM SLPB776495;14.8;84800;2;3;192.254902;254.4;576.7647059;408150.0977;6.528;3074.9472;4518.144;305280.0;4;16;0
7619;ProLiteX;TP4000-2SPX25;29.6;64000;25;50;189.7435897;3200.0;9487.179487;372046.2544;9.984;5091.84;6819.84;230400.0;4;16;0
7668;KOKAM;KOKAM SLPB776495;14.8;90100;2;3;192.254902;270.3;576.7647059;408150.0977;6.936;3267.1314;4800.528;324360.0;4;17;0
7692;ProLiteX;TP4000-2SPX25;29.6;68000;25;50;189.7435897;3400.0;9487.179487;372046.2544;10.608;5410.08;7246.08;244800.0;4;17;0
7741;KOKAM;KOKAM SLPB776495;14.8;95400;2;3;192.254902;286.2;576.7647059;408150.0977;7.343999999999999;3459.3156;5082.912;343440.0;4;18;0
7775;ProLiteX;TP6000-4SPX25;59.2;108000;25;50;181.2244898;5400.0;9061.22449;387231.8158;35.28;16511.04;23016.96;388800.0;4;18;0
7810;KOKAM;KOKAM SLPB776495;14.8;100700;2;3;192.254902;302.1;576.7647059;408150.0977;7.752;3651.4998;5365.296;362520.0;4;19;0
7833;ProLiteX;TP4000-2SPX25;29.6;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;11.856;6046.56;8098.56;273600.0;4;19;0
7844;ProLiteX;TP6000-4SPX25;59.2;114000;25;50;181.2244898;5700.0;9061.22449;387231.8158;37.24;17428.32;24295.68;410400.0;4;19;0
7879;KOKAM;KOKAM SLPB776495;14.8;106000;2;3;192.254902;318.0;576.7647059;408150.0977;8.16;3843.684;5647.68;381600.0;4;20;0
7940;KOKAM;KOKAM SLPB526495;18.5;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.335;166.31325;219.78000000000003;11880.0;5;1;0
7942;KOKAM;KOKAM SLPB776495;18.5;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.51;240.23025;352.98;19080.0;5;1;0
7967;ProLiteX;TP4000-2SPX25;37.0;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.78;397.8;532.8;14400.0;5;1;0
7998;KOKAM;KOKAM SLPB526495;18.5;6600;2;3;182.238806;19.8;546.7164179;367078.3897;0.67;332.6265;439.56000000000006;23760.0;5;2;0
8000;KOKAM;KOKAM SLPB776495;18.5;10600;2;3;192.254902;31.8;576.7647059;408150.0977;1.02;480.4605;705.96;38160.0;5;2;0
8023;ProLiteX;TP4000-2SPX25;37.0;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;1.56;795.6;1065.6;28800.0;5;2;0
8054;KOKAM;KOKAM SLPB526495;18.5;9900;2;3;182.238806;29.700000000000003;546.7164179;367078.3897;1.005;498.93975;659.34;35640.0;5;3;0
8056;KOKAM;KOKAM SLPB776495;18.5;15900;2;3;192.254902;47.7;576.7647059;408150.0977;1.5299999999999998;720.69075;1058.94;57240.0;5;3;0
8079;ProLiteX;TP4000-2SPX25;37.0;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;2.34;1193.4;1598.4;43200.0;5;3;0
8112;KOKAM;KOKAM SLPB776495;18.5;21200;2;3;192.254902;63.6;576.7647059;408150.0977;2.04;960.921;1411.92;76320.0;5;4;0
8135;ProLiteX;TP4000-2SPX25;37.0;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;3.12;1591.2;2131.2;57600.0;5;4;0
8168;KOKAM;KOKAM SLPB776495;18.5;26500;2;3;192.254902;79.5;576.7647059;408150.0977;2.55;1201.15125;1764.9;95400.0;5;5;0
8224;KOKAM;KOKAM SLPB776495;18.5;31800;2;3;192.254902;95.4;576.7647059;408150.0977;3.06;1441.3815;2117.88;114480.0;5;6;0
8247;ProLiteX;TP4000-2SPX25;37.0;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;4.68;2386.8;3196.8;86400.0;5;6;0
8280;KOKAM;KOKAM SLPB776495;18.5;37100;2;3;192.254902;111.3;576.7647059;408150.0977;3.57;1681.61175;2470.86;133560.0;5;7;0
8303;ProLiteX;TP4000-2SPX25;37.0;28000;25;50;189.7435897;1400.0;9487.179487;372046.2544;5.46;2784.6;3729.6;100800.0;5;7;0
8336;KOKAM;KOKAM SLPB776495;18.5;42400;2;3;192.254902;127.2;576.7647059;408150.0977;4.08;1921.842;2823.84;152640.0;5;8;0
8359;ProLiteX;TP4000-2SPX25;37.0;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;6.24;3182.4;4262.4;115200.0;5;8;0
8392;KOKAM;KOKAM SLPB776495;18.5;47700;2;3;192.254902;143.1;576.7647059;408150.0977;4.59;2162.07225;3176.82;171720.0;5;9;0
8448;KOKAM;KOKAM SLPB776495;18.5;53000;2;3;192.254902;159.0;576.7647059;408150.0977;5.1;2402.3025;3529.8;190800.0;5;10;0
8503;KOKAM;KOKAM SLPB776495;18.5;58300;2;3;192.254902;174.9;576.7647059;408150.0977;5.609999999999999;2642.53275;3882.78;209880.0;5;11;0
8558;KOKAM;KOKAM SLPB776495;18.5;63600;2;3;192.254902;190.8;576.7647059;408150.0977;6.119999999999999;2882.763;4235.76;228960.0;5;12;0
8613;KOKAM;KOKAM SLPB776495;18.5;68900;2;3;192.254902;206.7;576.7647059;408150.0977;6.63;3122.99325;4588.74;248040.0;5;13;0
8668;KOKAM;KOKAM SLPB776495;18.5;74200;2;3;192.254902;222.6;576.7647059;408150.0977;7.14;3363.2235;4941.72;267120.0;5;14;0
8689;ProLiteX;TP4000-2SPX25;37.0;56000;25;50;189.7435897;2800.0;9487.179487;372046.2544;10.92;5569.2;7459.2;201600.0;5;14;0
8722;KOKAM;KOKAM SLPB776495;18.5;79500;2;3;192.254902;238.5;576.7647059;408150.0977;7.649999999999999;3603.45375;5294.700000000001;286200.0;5;15;0
8775;KOKAM;KOKAM SLPB776495;18.5;84800;2;3;192.254902;254.4;576.7647059;408150.0977;8.16;3843.684;5647.68;305280.0;5;16;0
8828;KOKAM;KOKAM SLPB776495;18.5;90100;2;3;192.254902;270.3;576.7647059;408150.0977;8.67;4083.91425;6000.66;324360.0;5;17;0
8848;ProLiteX;TP4000-2SPX25;37.0;68000;25;50;189.7435897;3400.0;9487.179487;372046.2544;13.26;6762.6;9057.6;244800.0;5;17;0
8881;KOKAM;KOKAM SLPB776495;18.5;95400;2;3;192.254902;286.2;576.7647059;408150.0977;9.18;4324.1445;6353.64;343440.0;5;18;0
8931;KOKAM;KOKAM SLPB776495;18.5;100700;2;3;192.254902;302.1;576.7647059;408150.0977;9.69;4564.37475;6706.620000000001;362520.0;5;19;0
8981;KOKAM;KOKAM SLPB776495;18.5;106000;2;3;192.254902;318.0;576.7647059;408150.0977;10.2;4804.6050000000005;7059.6;381600.0;5;20;0
9024;KOKAM;KOKAM SLPB526495;22.200000000000003;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.402;199.5759;263.736;11880.0;6;1;0
9026;KOKAM;KOKAM SLPB776495;22.200000000000003;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.612;288.2763;423.576;19080.0;6;1;0
9041;ProLiteX;TP4000-2SPX25;44.400000000000006;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;0.936;477.36;639.36;14400.0;6;1;0
9055;KOKAM;KOKAM SLPB776495;22.200000000000003;10600;2;3;192.254902;31.8;576.7647059;408150.0977;1.224;576.5526;847.152;38160.0;6;2;0
9068;ProLiteX;TP4000-2SPX25;44.400000000000006;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;1.872;954.72;1278.72;28800.0;6;2;0
9080;KOKAM;KOKAM SLPB526495;22.200000000000003;9900;2;3;182.238806;29.700000000000003;546.7164179;367078.3897;1.206;598.7277;791.2080000000001;35640.0;6;3;0
9082;KOKAM;KOKAM SLPB776495;22.200000000000003;15900;2;3;192.254902;47.7;576.7647059;408150.0977;1.836;864.8289;1270.728;57240.0;6;3;0
9095;ProLiteX;TP4000-2SPX25;44.400000000000006;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;2.808;1432.08;1918.08;43200.0;6;3;0
9109;KOKAM;KOKAM SLPB776495;22.200000000000003;21200;2;3;192.254902;63.6;576.7647059;408150.0977;2.448;1153.1052;1694.304;76320.0;6;4;0
9122;ProLiteX;TP4000-2SPX25;44.400000000000006;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;3.744;1909.44;2557.44;57600.0;6;4;0
9136;KOKAM;KOKAM SLPB776495;22.200000000000003;26500;2;3;192.254902;79.5;576.7647059;408150.0977;3.06;1441.3815;2117.88;95400.0;6;5;0
9149;ProLiteX;TP4000-2SPX25;44.400000000000006;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;4.68;2386.8;3196.8;72000.0;6;5;0
9163;KOKAM;KOKAM SLPB776495;22.200000000000003;31800;2;3;192.254902;95.4;576.7647059;408150.0977;3.672;1729.6578;2541.456;114480.0;6;6;0
9190;KOKAM;KOKAM SLPB776495;22.200000000000003;37100;2;3;192.254902;111.3;576.7647059;408150.0977;4.284;2017.9341;2965.032;133560.0;6;7;0
9217;KOKAM;KOKAM SLPB776495;22.200000000000003;42400;2;3;192.254902;127.2;576.7647059;408150.0977;4.896;2306.2104;3388.608;152640.0;6;8;0
9230;ProLiteX;TP4000-2SPX25;44.400000000000006;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;7.487999999999999;3818.88;5114.88;115200.0;6;8;0
9244;KOKAM;KOKAM SLPB776495;22.200000000000003;47700;2;3;192.254902;143.1;576.7647059;408150.0977;5.508;2594.4867;3812.184;171720.0;6;9;0
9257;ProLiteX;TP4000-2SPX25;44.400000000000006;36000;25;50;189.7435897;1800.0;9487.179487;372046.2544;8.424;4296.24;5754.24;129600.0;6;9;0
9271;KOKAM;KOKAM SLPB776495;22.200000000000003;53000;2;3;192.254902;159.0;576.7647059;408150.0977;6.119999999999999;2882.763;4235.76;190800.0;6;10;0
9297;KOKAM;KOKAM SLPB776495;22.200000000000003;58300;2;3;192.254902;174.9;576.7647059;408150.0977;6.731999999999999;3171.0393;4659.336;209880.0;6;11;0
9323;KOKAM;KOKAM SLPB776495;22.200000000000003;63600;2;3;192.254902;190.8;576.7647059;408150.0977;7.343999999999999;3459.3156;5082.912;228960.0;6;12;0
9349;KOKAM;KOKAM SLPB776495;22.200000000000003;68900;2;3;192.254902;206.7;576.7647059;408150.0977;7.955999999999999;3747.5919;5506.488;248040.0;6;13;0
9375;KOKAM;KOKAM SLPB776495;22.200000000000003;74200;2;3;192.254902;222.6;576.7647059;408150.0977;8.568;4035.8682;5930.064;267120.0;6;14;0
9400;KOKAM;KOKAM SLPB776495;22.200000000000003;79500;2;3;192.254902;238.5;576.7647059;408150.0977;9.18;4324.1445;6353.64;286200.0;6;15;0
9424;KOKAM;KOKAM SLPB776495;22.200000000000003;84800;2;3;192.254902;254.4;576.7647059;408150.0977;9.792;4612.4208;6777.216;305280.0;6;16;0
9434;ProLiteX;TP4000-2SPX25;44.400000000000006;64000;25;50;189.7435897;3200.0;9487.179487;372046.2544;14.976;7637.76;10229.76;230400.0;6;16;0
9448;KOKAM;KOKAM SLPB776495;22.200000000000003;90100;2;3;192.254902;270.3;576.7647059;408150.0977;10.404;4900.6971;7200.792;324360.0;6;17;0
9472;KOKAM;KOKAM SLPB776495;22.200000000000003;95400;2;3;192.254902;286.2;576.7647059;408150.0977;11.016;5188.9734;7624.368;343440.0;6;18;0
9494;KOKAM;KOKAM SLPB776495;22.200000000000003;100700;2;3;192.254902;302.1;576.7647059;408150.0977;11.628;5477.2497;8047.944;362520.0;6;19;0
9503;ProLiteX;TP4000-2SPX25;44.400000000000006;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;17.784;9069.84;12147.84;273600.0;6;19;0
9516;KOKAM;KOKAM SLPB776495;22.200000000000003;106000;2;3;192.254902;318.0;576.7647059;408150.0977;12.239999999999998;5765.526;8471.52;381600.0;6;20;0
9538;KOKAM;KOKAM SLPB776495;25.9;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.714;336.32235000000003;494.172;19080.0;7;1;0
9553;ProLiteX;TP4000-2SPX25;51.8;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;1.092;556.9200000000001;745.9200000000001;14400.0;7;1;0
9567;KOKAM;KOKAM SLPB776495;25.9;10600;2;3;192.254902;31.8;576.7647059;408150.0977;1.428;672.6447000000001;988.344;38160.0;7;2;0
9580;ProLiteX;TP4000-2SPX25;51.8;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;2.184;1113.84;1491.84;28800.0;7;2;0
9594;KOKAM;KOKAM SLPB776495;25.9;15900;2;3;192.254902;47.7;576.7647059;408150.0977;2.142;1008.96705;1482.516;57240.0;7;3;0
9621;KOKAM;KOKAM SLPB776495;25.9;21200;2;3;192.254902;63.6;576.7647059;408150.0977;2.856;1345.2894;1976.688;76320.0;7;4;0
9634;ProLiteX;TP4000-2SPX25;51.8;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;4.368;2227.6800000000003;2983.6800000000003;57600.0;7;4;0
9648;KOKAM;KOKAM SLPB776495;25.9;26500;2;3;192.254902;79.5;576.7647059;408150.0977;3.57;1681.61175;2470.86;95400.0;7;5;0
9661;ProLiteX;TP4000-2SPX25;51.8;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;5.46;2784.6;3729.6;72000.0;7;5;0
9675;KOKAM;KOKAM SLPB776495;25.9;31800;2;3;192.254902;95.4;576.7647059;408150.0977;4.284;2017.9341;2965.032;114480.0;7;6;0
9702;KOKAM;KOKAM SLPB776495;25.9;37100;2;3;192.254902;111.3;576.7647059;408150.0977;4.997999999999999;2354.25645;3459.204;133560.0;7;7;0
9715;ProLiteX;TP4000-2SPX25;51.8;28000;25;50;189.7435897;1400.0;9487.179487;372046.2544;7.644;3898.44;5221.4400000000005;100800.0;7;7;0
9729;KOKAM;KOKAM SLPB776495;25.9;42400;2;3;192.254902;127.2;576.7647059;408150.0977;5.712;2690.5788;3953.376;152640.0;7;8;0
9756;KOKAM;KOKAM SLPB776495;25.9;47700;2;3;192.254902;143.1;576.7647059;408150.0977;6.425999999999999;3026.90115;4447.548000000001;171720.0;7;9;0
9783;KOKAM;KOKAM SLPB776495;25.9;53000;2;3;192.254902;159.0;576.7647059;408150.0977;7.14;3363.2235;4941.72;190800.0;7;10;0
9795;ProLiteX;TP4000-2SPX25;51.8;40000;25;50;189.7435897;2000.0;9487.179487;372046.2544;10.92;5569.2;7459.2;144000.0;7;10;0
9809;KOKAM;KOKAM SLPB776495;25.9;58300;2;3;192.254902;174.9;576.7647059;408150.0977;7.853999999999999;3699.54585;5435.892;209880.0;7;11;0
9835;KOKAM;KOKAM SLPB776495;25.9;63600;2;3;192.254902;190.8;576.7647059;408150.0977;8.568;4035.8682;5930.064;228960.0;7;12;0
9861;KOKAM;KOKAM SLPB776495;25.9;68900;2;3;192.254902;206.7;576.7647059;408150.0977;9.282;4372.19055;6424.236000000001;248040.0;7;13;0
9873;ProLiteX;TP4000-2SPX25;51.8;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;14.196;7239.96;9696.96;187200.0;7;13;0
9887;KOKAM;KOKAM SLPB776495;25.9;74200;2;3;192.254902;222.6;576.7647059;408150.0977;9.996;4708.5129;6918.408;267120.0;7;14;0
9898;ProLiteX;TP4000-2SPX25;51.8;56000;25;50;189.7435897;2800.0;9487.179487;372046.2544;15.288;7796.88;10442.88;201600.0;7;14;0
9912;KOKAM;KOKAM SLPB776495;25.9;79500;2;3;192.254902;238.5;576.7647059;408150.0977;10.71;5044.83525;7412.58;286200.0;7;15;0
9936;KOKAM;KOKAM SLPB776495;25.9;84800;2;3;192.254902;254.4;576.7647059;408150.0977;11.424;5381.1576000000005;7906.752;305280.0;7;16;0
9960;KOKAM;KOKAM SLPB776495;25.9;90100;2;3;192.254902;270.3;576.7647059;408150.0977;12.138;5717.47995;8400.924;324360.0;7;17;0
9984;KOKAM;KOKAM SLPB776495;25.9;95400;2;3;192.254902;286.2;576.7647059;408150.0977;12.852;6053.8023;8895.096000000001;343440.0;7;18;0
10006;KOKAM;KOKAM SLPB776495;25.9;100700;2;3;192.254902;302.1;576.7647059;408150.0977;13.566;6390.12465;9389.268;362520.0;7;19;0
10015;ProLiteX;TP4000-2SPX25;51.8;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;20.748;10581.48;14172.48;273600.0;7;19;0
10028;KOKAM;KOKAM SLPB776495;25.9;106000;2;3;192.254902;318.0;576.7647059;408150.0977;14.28;6726.447;9883.44;381600.0;7;20;0
10037;ProLiteX;TP4000-2SPX25;51.8;80000;25;50;189.7435897;4000.0;9487.179487;372046.2544;21.84;11138.4;14918.4;288000.0;7;20;0
10050;KOKAM;KOKAM SLPB776495;29.6;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.816;384.3684;564.768;19080.0;8;1;0
10065;ProLiteX;TP4000-2SPX25;59.2;4000;25;50;189.7435897;200.0;9487.179487;372046.2544;1.248;636.48;852.48;14400.0;8;1;0
10079;KOKAM;KOKAM SLPB776495;29.6;10600;2;3;192.254902;31.8;576.7647059;408150.0977;1.632;768.7368;1129.536;38160.0;8;2;0
10092;ProLiteX;TP4000-2SPX25;59.2;8000;25;50;189.7435897;400.0;9487.179487;372046.2544;2.496;1272.96;1704.96;28800.0;8;2;0
10106;KOKAM;KOKAM SLPB776495;29.6;15900;2;3;192.254902;47.7;576.7647059;408150.0977;2.448;1153.1052;1694.304;57240.0;8;3;0
10119;ProLiteX;TP4000-2SPX25;59.2;12000;25;50;189.7435897;600.0;9487.179487;372046.2544;3.744;1909.44;2557.44;43200.0;8;3;0
10133;KOKAM;KOKAM SLPB776495;29.6;21200;2;3;192.254902;63.6;576.7647059;408150.0977;3.264;1537.4736;2259.072;76320.0;8;4;0
10146;ProLiteX;TP4000-2SPX25;59.2;16000;25;50;189.7435897;800.0;9487.179487;372046.2544;4.992;2545.92;3409.92;57600.0;8;4;0
10160;KOKAM;KOKAM SLPB776495;29.6;26500;2;3;192.254902;79.5;576.7647059;408150.0977;4.08;1921.842;2823.84;95400.0;8;5;0
10173;ProLiteX;TP4000-2SPX25;59.2;20000;25;50;189.7435897;1000.0;9487.179487;372046.2544;6.24;3182.4;4262.4;72000.0;8;5;0
10187;KOKAM;KOKAM SLPB776495;29.6;31800;2;3;192.254902;95.4;576.7647059;408150.0977;4.896;2306.2104;3388.608;114480.0;8;6;0
10200;ProLiteX;TP4000-2SPX25;59.2;24000;25;50;189.7435897;1200.0;9487.179487;372046.2544;7.487999999999999;3818.88;5114.88;86400.0;8;6;0
10214;KOKAM;KOKAM SLPB776495;29.6;37100;2;3;192.254902;111.3;576.7647059;408150.0977;5.712;2690.5788;3953.376;133560.0;8;7;0
10241;KOKAM;KOKAM SLPB776495;29.6;42400;2;3;192.254902;127.2;576.7647059;408150.0977;6.528;3074.9472;4518.144;152640.0;8;8;0
10254;ProLiteX;TP4000-2SPX25;59.2;32000;25;50;189.7435897;1600.0;9487.179487;372046.2544;9.984;5091.84;6819.84;115200.0;8;8;0
10268;KOKAM;KOKAM SLPB776495;29.6;47700;2;3;192.254902;143.1;576.7647059;408150.0977;7.343999999999999;3459.3156;5082.912;171720.0;8;9;0
10295;KOKAM;KOKAM SLPB776495;29.6;53000;2;3;192.254902;159.0;576.7647059;408150.0977;8.16;3843.684;5647.68;190800.0;8;10;0
10321;KOKAM;KOKAM SLPB776495;29.6;58300;2;3;192.254902;174.9;576.7647059;408150.0977;8.975999999999999;4228.0524000000005;6212.448;209880.0;8;11;0
10347;KOKAM;KOKAM SLPB776495;29.6;63600;2;3;192.254902;190.8;576.7647059;408150.0977;9.792;4612.4208;6777.216;228960.0;8;12;0
10359;ProLiteX;TP4000-2SPX25;59.2;48000;25;50;189.7435897;2400.0;9487.179487;372046.2544;14.976;7637.76;10229.76;172800.0;8;12;0
10373;KOKAM;KOKAM SLPB776495;29.6;68900;2;3;192.254902;206.7;576.7647059;408150.0977;10.608;4996.7892;7341.984;248040.0;8;13;0
10385;ProLiteX;TP4000-2SPX25;59.2;52000;25;50;189.7435897;2600.0;9487.179487;372046.2544;16.224;8274.24;11082.24;187200.0;8;13;0
10399;KOKAM;KOKAM SLPB776495;29.6;74200;2;3;192.254902;222.6;576.7647059;408150.0977;11.424;5381.1576000000005;7906.752;267120.0;8;14;0
10424;KOKAM;KOKAM SLPB776495;29.6;79500;2;3;192.254902;238.5;576.7647059;408150.0977;12.239999999999998;5765.526;8471.52;286200.0;8;15;0
10448;KOKAM;KOKAM SLPB776495;29.6;84800;2;3;192.254902;254.4;576.7647059;408150.0977;13.056;6149.8944;9036.288;305280.0;8;16;0
10472;KOKAM;KOKAM SLPB776495;29.6;90100;2;3;192.254902;270.3;576.7647059;408150.0977;13.872;6534.2628;9601.056;324360.0;8;17;0
10482;ProLiteX;TP4000-2SPX25;59.2;68000;25;50;189.7435897;3400.0;9487.179487;372046.2544;21.216;10820.16;14492.16;244800.0;8;17;0
10496;KOKAM;KOKAM SLPB776495;29.6;95400;2;3;192.254902;286.2;576.7647059;408150.0977;14.688;6918.6312;10165.824;343440.0;8;18;0
10518;KOKAM;KOKAM SLPB776495;29.6;100700;2;3;192.254902;302.1;576.7647059;408150.0977;15.504;7302.9996;10730.592;362520.0;8;19;0
10527;ProLiteX;TP4000-2SPX25;59.2;76000;25;50;189.7435897;3800.0;9487.179487;372046.2544;23.712;12093.12;16197.12;273600.0;8;19;0
10540;KOKAM;KOKAM SLPB776495;29.6;106000;2;3;192.254902;318.0;576.7647059;408150.0977;16.32;7687.368;11295.36;381600.0;8;20;0
10549;ProLiteX;TP4000-2SPX25;59.2;80000;25;50;189.7435897;4000.0;9487.179487;372046.2544;24.96;12729.6;17049.6;288000.0;8;20;0
10560;KOKAM;KOKAM SLPB526495;33.300000000000004;3300;2;3;182.238806;9.9;546.7164179;367078.3897;0.603;299.36385;395.604;11880.0;9;1;0
10562;KOKAM;KOKAM SLPB776495;33.300000000000004;5300;2;3;192.254902;15.9;576.7647059;408150.0977;0.918;432.41445;635.364;19080.0;9;1;0
10570;KOKAM;KOKAM SLPB526495;33.300000000000004;6600;2;3;182.238806;19.8;546.7164179;367078.3897;1.206;598.7277;791.2080000000001;23760.0;9;2;0
10572;KOKAM;KOKAM SLPB776495;33.300000000000004;10600;2;3;192.254902;31.8;576.7647059;408150.0977;1.836;864.8289;1270.728;38160.0;9;2;0
10580;KOKAM;KOKAM SLPB776495;33.300000000000004;15900;2;3;192.254902;47.7;576.7647059;408150.0977;2.754;1297.24335;1906.092;57240.0;9;3;0
10588;KOKAM;KOKAM SLPB776495;33.300000000000004;21200;2;3;192.254902;63.6;576.7647059;408150.0977;3.672;1729.6578;2541.456;76320.0;9;4;0
10596;KOKAM;KOKAM SLPB776495;33.300000000000004;26500;2;3;192.254902;79.5;576.7647059;408150.0977;4.59;2162.07225;3176.82;95400.0;9;5;0
10604;KOKAM;KOKAM SLPB776495;33.300000000000004;31800;2;3;192.254902;95.4;576.7647059;408150.0977;5.508;2594.4867;3812.184;114480.0;9;6;0
10612;KOKAM;KOKAM SLPB776495;33.300000000000004;37100;2;3;192.254902;111.3;576.7647059;408150.0977;6.425999999999999;3026.90115;4447.548000000001;133560.0;9;7;0
10620;KOKAM;KOKAM SLPB776495;33.300000000000004;42400;2;3;192.254902;127.2;576.7647059;408150.0977;7.343999999999999;3459.3156;5082.912;152640.0;9;8;0
10628;KOKAM;KOKAM SLPB776495;33.300000000000004;47700;2;3;192.254902;143.1;576.7647059;408150.0977;8.261999999999999;3891.73005;5718.276;171720.0;9;9;0
10636;KOKAM;KOKAM SLPB776495;33.300000000000004;53000;2;3;192.254902;159.0;576.7647059;408150.0977;9.18;4324.1445;6353.64;190800.0;9;10;0
10643;KOKAM;KOKAM SLPB776495;33.300000000000004;58300;2;3;192.254902;174.9;576.7647059;408150.0977;10.098;4756.558950000001;6989.004000000001;209880.0;9;11;0
10650;KOKAM;KOKAM SLPB776495;33.300000000000004;63600;2;3;192.254902;190.8;576.7647059;408150.0977;11.016;5188.9734;7624.368;228960.0;9;12;0
10657;KOKAM;KOKAM SLPB776495;33.300000000000004;68900;2;3;192.254902;206.7;576.7647059;408150.0977;11.934;5621.38785;8259.732;248040.0;9;13;0
10664;KOKAM;KOKAM SLPB776495;33.300000000000004;74200;2;3;192.254902;222.6;576.7647059;408150.0977;12.852;6053.8023;8895.096000000001;267120.0;9;14;0
10670;KOKAM;KOKAM SLPB776495;33.300000000000004;79500;2;3;192.254902;238.5;576.7647059;408150.0977;13.77;6486.2167500000005;9530.46;286200.0;9;15;0
10675;KOKAM;KOKAM SLPB776495;33.300000000000004;84800;2;3;192.254902;254.4;576.7647059;408150.0977;14.688;6918.6312;10165.824;305280.0;9;16;0
10680;KOKAM;KOKAM SLPB776495;33.300000000000004;90100;2;3;192.254902;270.3;576.7647059;408150.0977;15.606;7351.04565;10801.188;324360.0;9;17;0
10685;KOKAM;KOKAM SLPB776495;33.300000000000004;95400;2;3;192.254902;286.2;576.7647059;408150.0977;16.523999999999997;7783.4601;11436.552;343440.0;9;18;0
10689;KOKAM;KOKAM SLPB776495;33.300000000000004;100700;2;3;192.254902;302.1;576.7647059;408150.0977;17.442;8215.87455;12071.916;362520.0;9;19;0
10693;KOKAM;KOKAM SLPB776495;33.300000000000004;106000;2;3;192.254902;318.0;576.7647059;408150.0977;18.36;8648.289;12707.28;381600.0;9;20;0
