;Unnamed: 0;Voltage_V;Capacity_mAh;Capacity_As;Energy_density_Wh_kg;Imax [A];Pmax_W_kg;Weight_kg;Volume_cm3;Energy_kJ;n_series;n_parallel
17914;9;103.6;144300;519480;228.1666667;12987;20535;65.52;41100.696;53818.128;7;39
17967;9;103.6;148000;532800;228.1666667;13320;20535;67.2;42154.56;55198.08;7;40
18020;9;103.6;151700;546120;228.1666667;13653;20535;68.88;43208.424;56578.032;7;41
18073;9;103.6;155400;559440;228.1666667;13986;20535;70.56;44262.288;57957.984;7;42
18126;9;103.6;159100;572760;228.1666667;14319;20535;72.24;45316.152;59337.936;7;43
18179;9;103.6;162800;586080;228.1666667;14652;20535;73.92;46370.016;60717.888;7;44
18232;9;103.6;166500;599400;228.1666667;14985;20535;75.6;47423.88;62097.84;7;45
18285;9;103.6;170200;612720;228.1666667;15318;20535;77.28;48477.744;63477.792;7;46
18338;9;103.6;173900;626040;228.1666667;15651;20535;78.96;49531.608;64857.744;7;47
18391;9;103.6;177600;639360;228.1666667;15984;20535;80.64;50585.472;66237.696;7;48
18444;9;103.6;181300;652680;228.1666667;16317;20535;82.32;51639.336;67617.648;7;49
18497;9;103.6;185000;666000;228.1666667;16650;20535;84;52693.2;68997.6;7;50
18550;9;118.4;3700;13320;228.1666667;333;20535;1.92;1204.416;1577.088;8;1
18603;9;118.4;7400;26640;228.1666667;666;20535;3.84;2408.832;3154.176;8;2
18656;9;118.4;11100;39960;228.1666667;999;20535;5.76;3613.248;4731.264;8;3
18709;9;118.4;14800;53280;228.1666667;1332;20535;7.68;4817.664;6308.352;8;4
18762;9;118.4;18500;66600;228.1666667;1665;20535;9.6;6022.08;7885.44;8;5
18815;9;118.4;22200;79920;228.1666667;1998;20535;11.52;7226.496;9462.528;8;6
18868;9;118.4;25900;93240;228.1666667;2331;20535;13.44;8430.912;11039.616;8;7
18921;9;118.4;29600;106560;228.1666667;2664;20535;15.36;9635.328;12616.704;8;8
18974;9;118.4;33300;119880;228.1666667;2997;20535;17.28;10839.744;14193.792;8;9
19027;9;118.4;37000;133200;228.1666667;3330;20535;19.2;12044.16;15770.88;8;10
19080;9;118.4;40700;146520;228.1666667;3663;20535;21.12;13248.576;17347.968;8;11
19133;9;118.4;44400;159840;228.1666667;3996;20535;23.04;14452.992;18925.056;8;12
19186;9;118.4;48100;173160;228.1666667;4329;20535;24.96;15657.408;20502.144;8;13
19239;9;118.4;51800;186480;228.1666667;4662;20535;26.88;16861.824;22079.232;8;14
19292;9;118.4;55500;199800;228.1666667;4995;20535;28.8;18066.24;23656.32;8;15
19345;9;118.4;59200;213120;228.1666667;5328;20535;30.72;19270.656;25233.408;8;16
19398;9;118.4;62900;226440;228.1666667;5661;20535;32.64;20475.072;26810.496;8;17
19451;9;118.4;66600;239760;228.1666667;5994;20535;34.56;21679.488;28387.584;8;18
19504;9;118.4;70300;253080;228.1666667;6327;20535;36.48;22883.904;29964.672;8;19
19557;9;118.4;74000;266400;228.1666667;6660;20535;38.4;24088.32;31541.76;8;20
19610;9;118.4;77700;279720;228.1666667;6993;20535;40.32;25292.736;33118.848;8;21
19663;9;118.4;81400;293040;228.1666667;7326;20535;42.24;26497.152;34695.936;8;22
19716;9;118.4;85100;306360;228.1666667;7659;20535;44.16;27701.568;36273.024;8;23
19769;9;118.4;88800;319680;228.1666667;7992;20535;46.08;28905.984;37850.112;8;24
19822;9;118.4;92500;333000;228.1666667;8325;20535;48;30110.4;39427.2;8;25
19875;9;118.4;96200;346320;228.1666667;8658;20535;49.92;31314.816;41004.288;8;26
19928;9;118.4;99900;359640;228.1666667;8991;20535;51.84;32519.232;42581.376;8;27
19981;9;118.4;103600;372960;228.1666667;9324;20535;53.76;33723.648;44158.464;8;28
20034;9;118.4;107300;386280;228.1666667;9657;20535;55.68;34928.064;45735.552;8;29
20087;9;118.4;111000;399600;228.1666667;9990;20535;57.6;36132.48;47312.64;8;30
20140;9;118.4;114700;412920;228.1666667;10323;20535;59.52;37336.896;48889.728;8;31
20193;9;118.4;118400;426240;228.1666667;10656;20535;61.44;38541.312;50466.816;8;32
20246;9;118.4;122100;439560;228.1666667;10989;20535;63.36;39745.728;52043.904;8;33
20299;9;118.4;125800;452880;228.1666667;11322;20535;65.28;40950.144;53620.992;8;34
20352;9;118.4;129500;466200;228.1666667;11655;20535;67.2;42154.56;55198.08;8;35
20405;9;118.4;133200;479520;228.1666667;11988;20535;69.12;43358.976;56775.168;8;36
20458;9;118.4;136900;492840;228.1666667;12321;20535;71.04;44563.392;58352.256;8;37
20511;9;118.4;140600;506160;228.1666667;12654;20535;72.96;45767.808;59929.344;8;38
20564;9;118.4;144300;519480;228.1666667;12987;20535;74.88;46972.224;61506.432;8;39
20617;9;118.4;148000;532800;228.1666667;13320;20535;76.8;48176.64;63083.52;8;40
20670;9;118.4;151700;546120;228.1666667;13653;20535;78.72;49381.056;64660.608;8;41
20723;9;118.4;155400;559440;228.1666667;13986;20535;80.64;50585.472;66237.696;8;42
20776;9;118.4;159100;572760;228.1666667;14319;20535;82.56;51789.888;67814.784;8;43
20829;9;118.4;162800;586080;228.1666667;14652;20535;84.48;52994.304;69391.872;8;44
20882;9;118.4;166500;599400;228.1666667;14985;20535;86.4;54198.72;70968.96;8;45
20935;9;118.4;170200;612720;228.1666667;15318;20535;88.32;55403.136;72546.048;8;46
20988;9;118.4;173900;626040;228.1666667;15651;20535;90.24;56607.552;74123.136;8;47
21041;9;118.4;177600;639360;228.1666667;15984;20535;92.16;57811.968;75700.224;8;48
21094;9;118.4;181300;652680;228.1666667;16317;20535;94.08;59016.384;77277.312;8;49
21147;9;118.4;185000;666000;228.1666667;16650;20535;96;60220.8;78854.4;8;50
21200;9;133.2;3700;13320;228.1666667;333;20535;2.16;1354.968;1774.224;9;1
21253;9;133.2;7400;26640;228.1666667;666;20535;4.32;2709.936;3548.448;9;2
21306;9;133.2;11100;39960;228.1666667;999;20535;6.48;4064.904;5322.672;9;3
21359;9;133.2;14800;53280;228.1666667;1332;20535;8.64;5419.872;7096.896;9;4
21412;9;133.2;18500;66600;228.1666667;1665;20535;10.8;6774.84;8871.12;9;5
21465;9;133.2;22200;79920;228.1666667;1998;20535;12.96;8129.808;10645.344;9;6
21518;9;133.2;25900;93240;228.1666667;2331;20535;15.12;9484.776;12419.568;9;7
21571;9;133.2;29600;106560;228.1666667;2664;20535;17.28;10839.744;14193.792;9;8
21624;9;133.2;33300;119880;228.1666667;2997;20535;19.44;12194.712;15968.016;9;9
21677;9;133.2;37000;133200;228.1666667;3330;20535;21.6;13549.68;17742.24;9;10
21730;9;133.2;40700;146520;228.1666667;3663;20535;23.76;14904.648;19516.464;9;11
21783;9;133.2;44400;159840;228.1666667;3996;20535;25.92;16259.616;21290.688;9;12
21836;9;133.2;48100;173160;228.1666667;4329;20535;28.08;17614.584;23064.912;9;13
21889;9;133.2;51800;186480;228.1666667;4662;20535;30.24;18969.552;24839.136;9;14
21942;9;133.2;55500;199800;228.1666667;4995;20535;32.4;20324.52;26613.36;9;15
21995;9;133.2;59200;213120;228.1666667;5328;20535;34.56;21679.488;28387.584;9;16
22048;9;133.2;62900;226440;228.1666667;5661;20535;36.72;23034.456;30161.808;9;17
22101;9;133.2;66600;239760;228.1666667;5994;20535;38.88;24389.424;31936.032;9;18
22154;9;133.2;70300;253080;228.1666667;6327;20535;41.04;25744.392;33710.256;9;19
22207;9;133.2;74000;266400;228.1666667;6660;20535;43.2;27099.36;35484.48;9;20
22260;9;133.2;77700;279720;228.1666667;6993;20535;45.36;28454.328;37258.704;9;21
22313;9;133.2;81400;293040;228.1666667;7326;20535;47.52;29809.296;39032.928;9;22
22366;9;133.2;85100;306360;228.1666667;7659;20535;49.68;31164.264;40807.152;9;23
22419;9;133.2;88800;319680;228.1666667;7992;20535;51.84;32519.232;42581.376;9;24
22472;9;133.2;92500;333000;228.1666667;8325;20535;54;33874.2;44355.6;9;25
22525;9;133.2;96200;346320;228.1666667;8658;20535;56.16;35229.168;46129.824;9;26
22578;9;133.2;99900;359640;228.1666667;8991;20535;58.32;36584.136;47904.048;9;27
22631;9;133.2;103600;372960;228.1666667;9324;20535;60.48;37939.104;49678.272;9;28
22684;9;133.2;107300;386280;228.1666667;9657;20535;62.64;39294.072;51452.496;9;29
22737;9;133.2;111000;399600;228.1666667;9990;20535;64.8;40649.04;53226.72;9;30
22790;9;133.2;114700;412920;228.1666667;10323;20535;66.96;42004.008;55000.944;9;31
22843;9;133.2;118400;426240;228.1666667;10656;20535;69.12;43358.976;56775.168;9;32
22896;9;133.2;122100;439560;228.1666667;10989;20535;71.28;44713.944;58549.392;9;33
22949;9;133.2;125800;452880;228.1666667;11322;20535;73.44;46068.912;60323.616;9;34
23002;9;133.2;129500;466200;228.1666667;11655;20535;75.6;47423.88;62097.84;9;35
23055;9;133.2;133200;479520;228.1666667;11988;20535;77.76;48778.848;63872.064;9;36
23108;9;133.2;136900;492840;228.1666667;12321;20535;79.92;50133.816;65646.288;9;37
23161;9;133.2;140600;506160;228.1666667;12654;20535;82.08;51488.784;67420.512;9;38
23214;9;133.2;144300;519480;228.1666667;12987;20535;84.24;52843.752;69194.736;9;39
23267;9;133.2;148000;532800;228.1666667;13320;20535;86.4;54198.72;70968.96;9;40
23320;9;133.2;151700;546120;228.1666667;13653;20535;88.56;55553.688;72743.184;9;41
23373;9;133.2;155400;559440;228.1666667;13986;20535;90.72;56908.656;74517.408;9;42
23426;9;133.2;159100;572760;228.1666667;14319;20535;92.88;58263.624;76291.632;9;43
23479;9;133.2;162800;586080;228.1666667;14652;20535;95.04;59618.592;78065.856;9;44
23532;9;133.2;166500;599400;228.1666667;14985;20535;97.2;60973.56;79840.08;9;45
23585;9;133.2;170200;612720;228.1666667;15318;20535;99.36;62328.528;81614.304;9;46
23638;9;133.2;173900;626040;228.1666667;15651;20535;101.52;63683.496;83388.528;9;47
23691;9;133.2;177600;639360;228.1666667;15984;20535;103.68;65038.464;85162.752;9;48
23744;9;133.2;181300;652680;228.1666667;16317;20535;105.84;66393.432;86936.976;9;49
23797;9;133.2;185000;666000;228.1666667;16650;20535;108;67748.4;88711.2;9;50
23850;9;148;3700;13320;228.1666667;333;20535;2.4;1505.52;1971.36;10;1
23903;9;148;7400;26640;228.1666667;666;20535;4.8;3011.04;3942.72;10;2
23956;9;148;11100;39960;228.1666667;999;20535;7.2;4516.56;5914.08;10;3
24009;9;148;14800;53280;228.1666667;1332;20535;9.6;6022.08;7885.44;10;4
24062;9;148;18500;66600;228.1666667;1665;20535;12;7527.6;9856.8;10;5
24115;9;148;22200;79920;228.1666667;1998;20535;14.4;9033.12;11828.16;10;6
24168;9;148;25900;93240;228.1666667;2331;20535;16.8;10538.64;13799.52;10;7
24221;9;148;29600;106560;228.1666667;2664;20535;19.2;12044.16;15770.88;10;8
24274;9;148;33300;119880;228.1666667;2997;20535;21.6;13549.68;17742.24;10;9
24327;9;148;37000;133200;228.1666667;3330;20535;24;15055.2;19713.6;10;10
24380;9;148;40700;146520;228.1666667;3663;20535;26.4;16560.72;21684.96;10;11
24433;9;148;44400;159840;228.1666667;3996;20535;28.8;18066.24;23656.32;10;12
24486;9;148;48100;173160;228.1666667;4329;20535;31.2;19571.76;25627.68;10;13
24539;9;148;51800;186480;228.1666667;4662;20535;33.6;21077.28;27599.04;10;14
24592;9;148;55500;199800;228.1666667;4995;20535;36;22582.8;29570.4;10;15
24645;9;148;59200;213120;228.1666667;5328;20535;38.4;24088.32;31541.76;10;16
24698;9;148;62900;226440;228.1666667;5661;20535;40.8;25593.84;33513.12;10;17
24751;9;148;66600;239760;228.1666667;5994;20535;43.2;27099.36;35484.48;10;18
24804;9;148;70300;253080;228.1666667;6327;20535;45.6;28604.88;37455.84;10;19
24857;9;148;74000;266400;228.1666667;6660;20535;48;30110.4;39427.2;10;20
24910;9;148;77700;279720;228.1666667;6993;20535;50.4;31615.92;41398.56;10;21
24963;9;148;81400;293040;228.1666667;7326;20535;52.8;33121.44;43369.92;10;22
25016;9;148;85100;306360;228.1666667;7659;20535;55.2;34626.96;45341.28;10;23
25069;9;148;88800;319680;228.1666667;7992;20535;57.6;36132.48;47312.64;10;24
25122;9;148;92500;333000;228.1666667;8325;20535;60;37638;49284;10;25
25175;9;148;96200;346320;228.1666667;8658;20535;62.4;39143.52;51255.36;10;26
25228;9;148;99900;359640;228.1666667;8991;20535;64.8;40649.04;53226.72;10;27
25281;9;148;103600;372960;228.1666667;9324;20535;67.2;42154.56;55198.08;10;28
25334;9;148;107300;386280;228.1666667;9657;20535;69.6;43660.08;57169.44;10;29
25387;9;148;111000;399600;228.1666667;9990;20535;72;45165.6;59140.8;10;30
25440;9;148;114700;412920;228.1666667;10323;20535;74.4;46671.12;61112.16;10;31
25493;9;148;118400;426240;228.1666667;10656;20535;76.8;48176.64;63083.52;10;32
25546;9;148;122100;439560;228.1666667;10989;20535;79.2;49682.16;65054.88;10;33
25599;9;148;125800;452880;228.1666667;11322;20535;81.6;51187.68;67026.24;10;34
25652;9;148;129500;466200;228.1666667;11655;20535;84;52693.2;68997.6;10;35
25705;9;148;133200;479520;228.1666667;11988;20535;86.4;54198.72;70968.96;10;36
25758;9;148;136900;492840;228.1666667;12321;20535;88.8;55704.24;72940.32;10;37
25811;9;148;140600;506160;228.1666667;12654;20535;91.2;57209.76;74911.68;10;38
25864;9;148;144300;519480;228.1666667;12987;20535;93.6;58715.28;76883.04;10;39
25917;9;148;148000;532800;228.1666667;13320;20535;96;60220.8;78854.4;10;40
25970;9;148;151700;546120;228.1666667;13653;20535;98.4;61726.32;80825.76;10;41
26023;9;148;155400;559440;228.1666667;13986;20535;100.8;63231.84;82797.12;10;42
26076;9;148;159100;572760;228.1666667;14319;20535;103.2;64737.36;84768.48;10;43
26129;9;148;162800;586080;228.1666667;14652;20535;105.6;66242.88;86739.84;10;44
26182;9;148;166500;599400;228.1666667;14985;20535;108;67748.4;88711.2;10;45
26235;9;148;170200;612720;228.1666667;15318;20535;110.4;69253.92;90682.56;10;46
26288;9;148;173900;626040;228.1666667;15651;20535;112.8;70759.44;92653.92;10;47
26341;9;148;177600;639360;228.1666667;15984;20535;115.2;72264.96;94625.28;10;48
26394;9;148;181300;652680;228.1666667;16317;20535;117.6;73770.48;96596.64;10;49
26447;9;148;185000;666000;228.1666667;16650;20535;120;75276;98568;10;50
26500;9;162.8;3700;13320;228.1666667;333;20535;2.64;1656.072;2168.496;11;1
26553;9;162.8;7400;26640;228.1666667;666;20535;5.28;3312.144;4336.992;11;2
26606;9;162.8;11100;39960;228.1666667;999;20535;7.92;4968.216;6505.488;11;3
26659;9;162.8;14800;53280;228.1666667;1332;20535;10.56;6624.288;8673.984;11;4
26712;9;162.8;18500;66600;228.1666667;1665;20535;13.2;8280.36;10842.48;11;5
26765;9;162.8;22200;79920;228.1666667;1998;20535;15.84;9936.432;13010.976;11;6
26818;9;162.8;25900;93240;228.1666667;2331;20535;18.48;11592.504;15179.472;11;7
26871;9;162.8;29600;106560;228.1666667;2664;20535;21.12;13248.576;17347.968;11;8
26924;9;162.8;33300;119880;228.1666667;2997;20535;23.76;14904.648;19516.464;11;9
26977;9;162.8;37000;133200;228.1666667;3330;20535;26.4;16560.72;21684.96;11;10
27030;9;162.8;40700;146520;228.1666667;3663;20535;29.04;18216.792;23853.456;11;11
27083;9;162.8;44400;159840;228.1666667;3996;20535;31.68;19872.864;26021.952;11;12
27136;9;162.8;48100;173160;228.1666667;4329;20535;34.32;21528.936;28190.448;11;13
27189;9;162.8;51800;186480;228.1666667;4662;20535;36.96;23185.008;30358.944;11;14
27242;9;162.8;55500;199800;228.1666667;4995;20535;39.6;24841.08;32527.44;11;15
27295;9;162.8;59200;213120;228.1666667;5328;20535;42.24;26497.152;34695.936;11;16
27348;9;162.8;62900;226440;228.1666667;5661;20535;44.88;28153.224;36864.432;11;17
27401;9;162.8;66600;239760;228.1666667;5994;20535;47.52;29809.296;39032.928;11;18
27454;9;162.8;70300;253080;228.1666667;6327;20535;50.16;31465.368;41201.424;11;19
27507;9;162.8;74000;266400;228.1666667;6660;20535;52.8;33121.44;43369.92;11;20
27560;9;162.8;77700;279720;228.1666667;6993;20535;55.44;34777.512;45538.416;11;21
27613;9;162.8;81400;293040;228.1666667;7326;20535;58.08;36433.584;47706.912;11;22
27666;9;162.8;85100;306360;228.1666667;7659;20535;60.72;38089.656;49875.408;11;23
27719;9;162.8;88800;319680;228.1666667;7992;20535;63.36;39745.728;52043.904;11;24
27772;9;162.8;92500;333000;228.1666667;8325;20535;66;41401.8;54212.4;11;25
27825;9;162.8;96200;346320;228.1666667;8658;20535;68.64;43057.872;56380.896;11;26
27878;9;162.8;99900;359640;228.1666667;8991;20535;71.28;44713.944;58549.392;11;27
27931;9;162.8;103600;372960;228.1666667;9324;20535;73.92;46370.016;60717.888;11;28
27984;9;162.8;107300;386280;228.1666667;9657;20535;76.56;48026.088;62886.384;11;29
28037;9;162.8;111000;399600;228.1666667;9990;20535;79.2;49682.16;65054.88;11;30
28090;9;162.8;114700;412920;228.1666667;10323;20535;81.84;51338.232;67223.376;11;31
28143;9;162.8;118400;426240;228.1666667;10656;20535;84.48;52994.304;69391.872;11;32
28196;9;162.8;122100;439560;228.1666667;10989;20535;87.12;54650.376;71560.368;11;33
28249;9;162.8;125800;452880;228.1666667;11322;20535;89.76;56306.448;73728.864;11;34
28302;9;162.8;129500;466200;228.1666667;11655;20535;92.4;57962.52;75897.36;11;35
28355;9;162.8;133200;479520;228.1666667;11988;20535;95.04;59618.592;78065.856;11;36
28408;9;162.8;136900;492840;228.1666667;12321;20535;97.68;61274.664;80234.352;11;37
28461;9;162.8;140600;506160;228.1666667;12654;20535;100.32;62930.736;82402.848;11;38
28514;9;162.8;144300;519480;228.1666667;12987;20535;102.96;64586.808;84571.344;11;39
28567;9;162.8;148000;532800;228.1666667;13320;20535;105.6;66242.88;86739.84;11;40
28620;9;162.8;151700;546120;228.1666667;13653;20535;108.24;67898.952;88908.336;11;41
28673;9;162.8;155400;559440;228.1666667;13986;20535;110.88;69555.024;91076.832;11;42
28726;9;162.8;159100;572760;228.1666667;14319;20535;113.52;71211.096;93245.328;11;43
28779;9;162.8;162800;586080;228.1666667;14652;20535;116.16;72867.168;95413.824;11;44
28832;9;162.8;166500;599400;228.1666667;14985;20535;118.8;74523.24;97582.32;11;45
28885;9;162.8;170200;612720;228.1666667;15318;20535;121.44;76179.312;99750.816;11;46
28938;9;162.8;173900;626040;228.1666667;15651;20535;124.08;77835.384;101919.312;11;47
28991;9;162.8;177600;639360;228.1666667;15984;20535;126.72;79491.456;104087.808;11;48
29044;9;162.8;181300;652680;228.1666667;16317;20535;129.36;81147.528;106256.304;11;49
29097;9;162.8;185000;666000;228.1666667;16650;20535;132;82803.6;108424.8;11;50
29150;9;177.6;3700;13320;228.1666667;333;20535;2.88;1806.624;2365.632;12;1
29203;9;177.6;7400;26640;228.1666667;666;20535;5.76;3613.248;4731.264;12;2
29256;9;177.6;11100;39960;228.1666667;999;20535;8.64;5419.872;7096.896;12;3
29309;9;177.6;14800;53280;228.1666667;1332;20535;11.52;7226.496;9462.528;12;4
29362;9;177.6;18500;66600;228.1666667;1665;20535;14.4;9033.12;11828.16;12;5
29415;9;177.6;22200;79920;228.1666667;1998;20535;17.28;10839.744;14193.792;12;6
29468;9;177.6;25900;93240;228.1666667;2331;20535;20.16;12646.368;16559.424;12;7
29521;9;177.6;29600;106560;228.1666667;2664;20535;23.04;14452.992;18925.056;12;8
29574;9;177.6;33300;119880;228.1666667;2997;20535;25.92;16259.616;21290.688;12;9
29627;9;177.6;37000;133200;228.1666667;3330;20535;28.8;18066.24;23656.32;12;10
29680;9;177.6;40700;146520;228.1666667;3663;20535;31.68;19872.864;26021.952;12;11
29733;9;177.6;44400;159840;228.1666667;3996;20535;34.56;21679.488;28387.584;12;12
29786;9;177.6;48100;173160;228.1666667;4329;20535;37.44;23486.112;30753.216;12;13
29839;9;177.6;51800;186480;228.1666667;4662;20535;40.32;25292.736;33118.848;12;14
29892;9;177.6;55500;199800;228.1666667;4995;20535;43.2;27099.36;35484.48;12;15
29945;9;177.6;59200;213120;228.1666667;5328;20535;46.08;28905.984;37850.112;12;16
29998;9;177.6;62900;226440;228.1666667;5661;20535;48.96;30712.608;40215.744;12;17
30051;9;177.6;66600;239760;228.1666667;5994;20535;51.84;32519.232;42581.376;12;18
30104;9;177.6;70300;253080;228.1666667;6327;20535;54.72;34325.856;44947.008;12;19
30157;9;177.6;74000;266400;228.1666667;6660;20535;57.6;36132.48;47312.64;12;20
30210;9;177.6;77700;279720;228.1666667;6993;20535;60.48;37939.104;49678.272;12;21
30263;9;177.6;81400;293040;228.1666667;7326;20535;63.36;39745.728;52043.904;12;22
30316;9;177.6;85100;306360;228.1666667;7659;20535;66.24;41552.352;54409.536;12;23
30369;9;177.6;88800;319680;228.1666667;7992;20535;69.12;43358.976;56775.168;12;24
30422;9;177.6;92500;333000;228.1666667;8325;20535;72;45165.6;59140.8;12;25
30475;9;177.6;96200;346320;228.1666667;8658;20535;74.88;46972.224;61506.432;12;26
30528;9;177.6;99900;359640;228.1666667;8991;20535;77.76;48778.848;63872.064;12;27
30581;9;177.6;103600;372960;228.1666667;9324;20535;80.64;50585.472;66237.696;12;28
30634;9;177.6;107300;386280;228.1666667;9657;20535;83.52;52392.096;68603.328;12;29
30687;9;177.6;111000;399600;228.1666667;9990;20535;86.4;54198.72;70968.96;12;30
30740;9;177.6;114700;412920;228.1666667;10323;20535;89.28;56005.344;73334.592;12;31
30793;9;177.6;118400;426240;228.1666667;10656;20535;92.16;57811.968;75700.224;12;32
30846;9;177.6;122100;439560;228.1666667;10989;20535;95.04;59618.592;78065.856;12;33
30899;9;177.6;125800;452880;228.1666667;11322;20535;97.92;61425.216;80431.488;12;34
30952;9;177.6;129500;466200;228.1666667;11655;20535;100.8;63231.84;82797.12;12;35
31005;9;177.6;133200;479520;228.1666667;11988;20535;103.68;65038.464;85162.752;12;36
31058;9;177.6;136900;492840;228.1666667;12321;20535;106.56;66845.088;87528.384;12;37
31111;9;177.6;140600;506160;228.1666667;12654;20535;109.44;68651.712;89894.016;12;38
31164;9;177.6;144300;519480;228.1666667;12987;20535;112.32;70458.336;92259.648;12;39
31217;9;177.6;148000;532800;228.1666667;13320;20535;115.2;72264.96;94625.28;12;40
31270;9;177.6;151700;546120;228.1666667;13653;20535;118.08;74071.584;96990.912;12;41
31323;9;177.6;155400;559440;228.1666667;13986;20535;120.96;75878.208;99356.544;12;42
31376;9;177.6;159100;572760;228.1666667;14319;20535;123.84;77684.832;101722.176;12;43
31429;9;177.6;162800;586080;228.1666667;14652;20535;126.72;79491.456;104087.808;12;44
31482;9;177.6;166500;599400;228.1666667;14985;20535;129.6;81298.08;106453.44;12;45
31535;9;177.6;170200;612720;228.1666667;15318;20535;132.48;83104.704;108819.072;12;46
31588;9;177.6;173900;626040;228.1666667;15651;20535;135.36;84911.328;111184.704;12;47
31641;9;177.6;177600;639360;228.1666667;15984;20535;138.24;86717.952;113550.336;12;48
31694;9;177.6;181300;652680;228.1666667;16317;20535;141.12;88524.576;115915.968;12;49
31747;9;177.6;185000;666000;228.1666667;16650;20535;144;90331.2;118281.6;12;50
31800;9;192.4;3700;13320;228.1666667;333;20535;3.12;1957.176;2562.768;13;1
31853;9;192.4;7400;26640;228.1666667;666;20535;6.24;3914.352;5125.536;13;2
31906;9;192.4;11100;39960;228.1666667;999;20535;9.36;5871.528;7688.304;13;3
31959;9;192.4;14800;53280;228.1666667;1332;20535;12.48;7828.704;10251.072;13;4
32012;9;192.4;18500;66600;228.1666667;1665;20535;15.6;9785.88;12813.84;13;5
32065;9;192.4;22200;79920;228.1666667;1998;20535;18.72;11743.056;15376.608;13;6
32118;9;192.4;25900;93240;228.1666667;2331;20535;21.84;13700.232;17939.376;13;7
32171;9;192.4;29600;106560;228.1666667;2664;20535;24.96;15657.408;20502.144;13;8
32224;9;192.4;33300;119880;228.1666667;2997;20535;28.08;17614.584;23064.912;13;9
32277;9;192.4;37000;133200;228.1666667;3330;20535;31.2;19571.76;25627.68;13;10
32330;9;192.4;40700;146520;228.1666667;3663;20535;34.32;21528.936;28190.448;13;11
32383;9;192.4;44400;159840;228.1666667;3996;20535;37.44;23486.112;30753.216;13;12
32436;9;192.4;48100;173160;228.1666667;4329;20535;40.56;25443.288;33315.984;13;13
32489;9;192.4;51800;186480;228.1666667;4662;20535;43.68;27400.464;35878.752;13;14
32542;9;192.4;55500;199800;228.1666667;4995;20535;46.8;29357.64;38441.52;13;15
32595;9;192.4;59200;213120;228.1666667;5328;20535;49.92;31314.816;41004.288;13;16
32648;9;192.4;62900;226440;228.1666667;5661;20535;53.04;33271.992;43567.056;13;17
32701;9;192.4;66600;239760;228.1666667;5994;20535;56.16;35229.168;46129.824;13;18
32754;9;192.4;70300;253080;228.1666667;6327;20535;59.28;37186.344;48692.592;13;19
32807;9;192.4;74000;266400;228.1666667;6660;20535;62.4;39143.52;51255.36;13;20
32860;9;192.4;77700;279720;228.1666667;6993;20535;65.52;41100.696;53818.128;13;21
32913;9;192.4;81400;293040;228.1666667;7326;20535;68.64;43057.872;56380.896;13;22
32966;9;192.4;85100;306360;228.1666667;7659;20535;71.76;45015.048;58943.664;13;23
33019;9;192.4;88800;319680;228.1666667;7992;20535;74.88;46972.224;61506.432;13;24
33072;9;192.4;92500;333000;228.1666667;8325;20535;78;48929.4;64069.2;13;25
33125;9;192.4;96200;346320;228.1666667;8658;20535;81.12;50886.576;66631.968;13;26
33178;9;192.4;99900;359640;228.1666667;8991;20535;84.24;52843.752;69194.736;13;27
33231;9;192.4;103600;372960;228.1666667;9324;20535;87.36;54800.928;71757.504;13;28
33284;9;192.4;107300;386280;228.1666667;9657;20535;90.48;56758.104;74320.272;13;29
33337;9;192.4;111000;399600;228.1666667;9990;20535;93.6;58715.28;76883.04;13;30
33390;9;192.4;114700;412920;228.1666667;10323;20535;96.72;60672.456;79445.808;13;31
33443;9;192.4;118400;426240;228.1666667;10656;20535;99.84;62629.632;82008.576;13;32
33496;9;192.4;122100;439560;228.1666667;10989;20535;102.96;64586.808;84571.344;13;33
33549;9;192.4;125800;452880;228.1666667;11322;20535;106.08;66543.984;87134.112;13;34
33602;9;192.4;129500;466200;228.1666667;11655;20535;109.2;68501.16;89696.88;13;35
33655;9;192.4;133200;479520;228.1666667;11988;20535;112.32;70458.336;92259.648;13;36
33708;9;192.4;136900;492840;228.1666667;12321;20535;115.44;72415.512;94822.416;13;37
33761;9;192.4;140600;506160;228.1666667;12654;20535;118.56;74372.688;97385.184;13;38
33814;9;192.4;144300;519480;228.1666667;12987;20535;121.68;76329.864;99947.952;13;39
33867;9;192.4;148000;532800;228.1666667;13320;20535;124.8;78287.04;102510.72;13;40
33920;9;192.4;151700;546120;228.1666667;13653;20535;127.92;80244.216;105073.488;13;41
33973;9;192.4;155400;559440;228.1666667;13986;20535;131.04;82201.392;107636.256;13;42
34026;9;192.4;159100;572760;228.1666667;14319;20535;134.16;84158.568;110199.024;13;43
34079;9;192.4;162800;586080;228.1666667;14652;20535;137.28;86115.744;112761.792;13;44
34132;9;192.4;166500;599400;228.1666667;14985;20535;140.4;88072.92;115324.56;13;45
34185;9;192.4;170200;612720;228.1666667;15318;20535;143.52;90030.096;117887.328;13;46
34238;9;192.4;173900;626040;228.1666667;15651;20535;146.64;91987.272;120450.096;13;47
34291;9;192.4;177600;639360;228.1666667;15984;20535;149.76;93944.448;123012.864;13;48
34344;9;192.4;181300;652680;228.1666667;16317;20535;152.88;95901.624;125575.632;13;49
34397;9;192.4;185000;666000;228.1666667;16650;20535;156;97858.8;128138.4;13;50
